cell,axis,axis_value,axis_label,scenario,family,part_order,world,policy15,delay,t_irrev,cap_strength,cap_share,containment_strength,mutation_rate,adversarial_pressure,initial_exploit_mass_scale,resource_concentration_pressure,catastrophe_severity,action_channel_cost_scale,n,R,R_ci_lo,R_ci_hi,capture_threshold,capture_threshold_ci_lo,capture_threshold_ci_hi,containment_timer_activity,containment_timer_activity_ci_lo,containment_timer_activity_ci_hi,permanence_probability,permanence_ci_lo,permanence_ci_hi,collapse_probability,collapse_ci_lo,collapse_ci_hi,capture_index,capture_index_ci_lo,capture_index_ci_hi,strict_zero_capture_probability,strict_zero_capture_ci_lo,strict_zero_capture_ci_hi,resource_hhi,resource_hhi_ci_lo,resource_hhi_ci_hi,max_lineage_share,max_lineage_share_ci_lo,max_lineage_share_ci_hi,exploitative_strategy_mass,exploitative_strategy_mass_ci_lo,exploitative_strategy_mass_ci_hi,cooperative_strategy_mass,cooperative_strategy_mass_ci_lo,cooperative_strategy_mass_ci_hi,strategy_diversity,strategy_diversity_ci_lo,strategy_diversity_ci_hi,response_diversity,response_diversity_ci_lo,response_diversity_ci_hi,welfare,welfare_ci_lo,welfare_ci_hi,minimum_zone_welfare,minimum_zone_welfare_ci_lo,minimum_zone_welfare_ci_hi,neighbor_harm_volume,neighbor_harm_volume_ci_lo,neighbor_harm_volume_ci_hi,aid_interception_volume,aid_interception_volume_ci_lo,aid_interception_volume_ci_hi,extraction_volume,extraction_volume_ci_lo,extraction_volume_ci_hi,deception_level,deception_level_ci_lo,deception_level_ci_hi,catastrophe_recovery_rate,catastrophe_recovery_rate_ci_lo,catastrophe_recovery_rate_ci_hi,mutation_survival,mutation_survival_ci_lo,mutation_survival_ci_hi,containment_cost,containment_cost_ci_lo,containment_cost_ci_hi,false_containment,false_containment_ci_lo,false_containment_ci_hi,delayed_consequence_true_harm_mi,delayed_consequence_true_harm_mi_ci_lo,delayed_consequence_true_harm_mi_ci_hi,irreversible_failures,irreversible_failures_ci_lo,irreversible_failures_ci_hi,containment_events,containment_events_ci_lo,containment_events_ci_hi,mutation_events,mutation_events_ci_lo,mutation_events_ci_hi,selection_delta_seen,selection_delta_seen_ci_lo,selection_delta_seen_ci_hi,initial_exploitative_strategy_mass,initial_exploitative_strategy_mass_ci_lo,initial_exploitative_strategy_mass_ci_hi,exploit_payoff_total,exploit_payoff_total_ci_lo,exploit_payoff_total_ci_hi,coop_payoff_total,coop_payoff_total_ci_lo,coop_payoff_total_ci_hi,no_strategy_observation_asserted,no_strategy_observation_asserted_ci_lo,no_strategy_observation_asserted_ci_hi,capture_component_resource_concentration,capture_component_resource_concentration_ci_lo,capture_component_resource_concentration_ci_hi,capture_component_exploit_mass,capture_component_exploit_mass_ci_lo,capture_component_exploit_mass_ci_hi,capture_component_neighbor_harm,capture_component_neighbor_harm_ci_lo,capture_component_neighbor_harm_ci_hi,capture_component_aid_interception,capture_component_aid_interception_ci_lo,capture_component_aid_interception_ci_hi,capture_component_coop_loss,capture_component_coop_loss_ci_lo,capture_component_coop_loss_ci_hi,viable_probability,robust
boundary,action_channel_cost_scale,0.5,action_channel_cost_scale=0.50,boundary,A,1,W2_pure_capture,anti_hhi_allocator,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,0.5,80,4.0,4.0,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0458197362645751,1.0,0.954180263735425,1.0,0.7264717150354918,0.7243408892312202,0.7286025408397634,0.0,0.0,0.0458197362645751,0.1937008829177727,0.18979814228696198,0.19760362354858343,0.017346668512675197,0.017031807689691397,0.017661529335658996,0.704762803719556,0.6997931588439453,0.7097324485951667,0.2952371962803475,0.2902675514047377,0.3002068411559573,0.4945889067243489,0.4764316313136291,0.5127461821350687,0.9480794850584665,0.9469236469164504,0.9492353232004827,0.009470703536347937,0.007539525079085766,0.011401881993610108,0.0,0.0,0.0,20.176471340875445,19.89624433747644,20.45669834427445,1.8124541096979296,1.798317345891872,1.8265908735039873,2.5093538031698577,2.4910033495865602,2.527704256753155,0.1823455234848695,0.17778859329540697,0.186902453674332,1.0,1.0,1.0,1586.8375,1576.9966827949781,1596.678317205022,0.0,0.0,0.0,0.0,0.0,0.0,0.0029070689989206156,0.002353046010873312,0.003461091986967919,9.0,9.0,9.0,0.0,0.0,0.0,1586.8375,1576.9966827949781,1596.678317205022,1.0,1.0,1.0,0.01926539556328927,0.018961288326398883,0.019569502800179658,47668.1962973023,46511.64865999725,48824.743934607344,4157.28193108661,4052.622385780842,4261.941476392378,1.0,1.0,1.0,0.23597077659046173,0.22482008907385967,0.2471214641070638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2970542945706012,0.28522180677153025,0.3088867823696721,0.0,False
boundary,action_channel_cost_scale,0.5,action_channel_cost_scale=0.50,boundary,B,2,W2_pure_capture,delayed_harm_throttle,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,0.5,80,4.0,4.0,4.0,0.5,0.5,0.5,13.45,11.879482242915904,15.020517757084095,0.0,0.0,0.0458197362645751,0.0,0.0,0.0458197362645751,0.754858138924956,0.7443232254139642,0.7653930524359478,0.0,0.0,0.0458197362645751,0.22198027168057316,0.2159199270243409,0.22804061633680542,0.15999610519262378,0.1546359477247124,0.16535626266053516,0.7354124082587837,0.7159823531562015,0.754842463361366,0.26458759173222607,0.24515753662952336,0.2840176468349288,0.14025604894306307,0.13035087586842192,0.1501612220177042,0.93852487174851,0.9217080883540736,0.9553416551429463,0.9155434751729455,0.9115659630425872,0.9195209873033039,0.7967519942563637,0.7894832062455025,0.8040207822672248,0.3509317759972063,0.34716180563825405,0.3547017463561586,1.4398284364213594,1.4287027717596916,1.4509541010830271,1.9697099737873245,1.9548527029290534,1.9845672446455955,0.15130568191809723,0.1498573919232295,0.15275397191296497,1.0,1.0,1.0,242.9125,236.8924206786945,248.9325793213055,0.007991088310402877,0.007807903515989938,0.008174273104815817,0.0,0.0,0.0,0.005652132276897952,0.005060341452378168,0.006243923101417736,4.0,3.796693160749384,4.203306839250616,163.9375,155.53804075448375,172.33695924551625,242.9125,236.8924206786945,248.9325793213055,1.0,1.0,1.0,0.6745194353499747,0.654450497458541,0.6945883732414084,573.1096135528729,555.6397657826404,590.5794613231054,675.0023428157826,659.9162775108313,690.088408120734,1.0,1.0,1.0,0.3167690301984631,0.2994537597520852,0.33408430064484096,0.9953953829434299,0.9906857511283702,1.0001050147584896,1.0,1.0,1.0,1.0,1.0,1.0,0.37638830038089144,0.33320139502512375,0.41957520573665913,0.0,False
boundary,action_channel_cost_scale,0.5,action_channel_cost_scale=0.50,boundary,C,3,W2_pure_capture,anti_concentration_plus_delayed_harm_throttle,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,0.5,80,4.0,4.0,4.0,0.5,0.5,0.5,7.9875,6.550963642751705,9.424036357248296,0.15,0.08793954037414209,0.2441342750110605,0.0,0.0,0.0458197362645751,0.5507189607129547,0.5400405384163118,0.5613973830095975,0.0,0.0,0.0458197362645751,0.17577238287789626,0.16276033932609074,0.18878442642970178,0.13936778614866693,0.12643354273789587,0.152302029559438,0.3629414457564414,0.34406134128022065,0.3818215502326621,0.6370585542387659,0.6181784497624331,0.6559386587150987,0.21598700544389798,0.21136777345980318,0.2206062374279928,0.9142694000050404,0.8974792588500136,0.9310595411600673,0.9357917702184647,0.9279336973082364,0.943649843128693,0.7474483183686627,0.7006516176123638,0.7942450191249615,0.36907489863744897,0.3632614218039223,0.37488837547097564,1.0372296299380344,1.0248140421857947,1.049645217690274,1.3990344986381977,1.3842829543067252,1.4137860429696703,0.13631063287808542,0.13427327169041853,0.13834799406575232,1.0,1.0,1.0,333.7625,324.6317656098666,342.8932343901334,0.006826985434429607,0.006434294307147007,0.007219676561712207,0.0,0.0,0.0,0.008450051766360904,0.007669571705286669,0.009230531827435138,1.65,1.423768238024405,1.8762317619755948,145.85,132.59679072828018,159.1032092717198,333.7625,324.6317656098666,342.8932343901334,1.0,1.0,1.0,0.3122427919381367,0.2979977881543503,0.3264877957219231,-40.1896843376878,-54.78942870442782,-25.589939970947782,831.1844965306773,808.7376474460857,853.6313456152689,1.0,1.0,1.0,0.18341758804985536,0.14778295388923682,0.2190522222104739,0.6243675163174319,0.5927249151614783,0.6560101174733856,1.0,1.0,1.0,0.9017034206482935,0.8910219412794943,0.9123849000170926,0.0019244911724104721,-0.0018475115255140537,0.005696493870334998,0.15,False
boundary,action_channel_cost_scale,1.0,action_channel_cost_scale=1.00,boundary,A,1,W2_pure_capture,anti_hhi_allocator,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0458197362645751,1.0,0.954180263735425,1.0,0.7264717150354918,0.7243408892312202,0.7286025408397634,0.0,0.0,0.0458197362645751,0.1937008829177727,0.18979814228696198,0.19760362354858343,0.017346668512675197,0.017031807689691397,0.017661529335658996,0.704762803719556,0.6997931588439453,0.7097324485951667,0.2952371962803475,0.2902675514047377,0.3002068411559573,0.4945889067243489,0.4764316313136291,0.5127461821350687,0.9480794850584665,0.9469236469164504,0.9492353232004827,0.009470703536347937,0.007539525079085766,0.011401881993610108,0.0,0.0,0.0,20.176471340875445,19.89624433747644,20.45669834427445,1.8124541096979296,1.798317345891872,1.8265908735039873,2.5093538031698577,2.4910033495865602,2.527704256753155,0.1823455234848695,0.17778859329540697,0.186902453674332,1.0,1.0,1.0,1586.8375,1576.9966827949781,1596.678317205022,0.0,0.0,0.0,0.0,0.0,0.0,0.0029070689989206156,0.002353046010873312,0.003461091986967919,9.0,9.0,9.0,0.0,0.0,0.0,1586.8375,1576.9966827949781,1596.678317205022,1.0,1.0,1.0,0.01926539556328927,0.018961288326398883,0.019569502800179658,47668.1962973023,46511.64865999725,48824.743934607344,4157.28193108661,4052.622385780842,4261.941476392378,1.0,1.0,1.0,0.23597077659046173,0.22482008907385967,0.2471214641070638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2970542945706012,0.28522180677153025,0.3088867823696721,0.0,False
boundary,action_channel_cost_scale,1.0,action_channel_cost_scale=1.00,boundary,B,2,W2_pure_capture,delayed_harm_throttle,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,13.45,11.879482242915904,15.020517757084095,0.0,0.0,0.0458197362645751,0.0,0.0,0.0458197362645751,0.754858138924956,0.7443232254139642,0.7653930524359478,0.0,0.0,0.0458197362645751,0.22198027168057316,0.2159199270243409,0.22804061633680542,0.15999610519262378,0.1546359477247124,0.16535626266053516,0.7354124082587837,0.7159823531562015,0.754842463361366,0.26458759173222607,0.24515753662952336,0.2840176468349288,0.14025604894306307,0.13035087586842192,0.1501612220177042,0.93852487174851,0.9217080883540736,0.9553416551429463,0.9155434751729455,0.9115659630425872,0.9195209873033039,0.7967519942563637,0.7894832062455025,0.8040207822672248,0.3509317759972063,0.34716180563825405,0.3547017463561586,1.4398284364213594,1.4287027717596916,1.4509541010830271,1.9697099737873245,1.9548527029290534,1.9845672446455955,0.15130568191809723,0.1498573919232295,0.15275397191296497,1.0,1.0,1.0,242.9125,236.8924206786945,248.9325793213055,0.015982176620805755,0.015615807031979876,0.016348546209631633,0.0,0.0,0.0,0.005652132276897952,0.005060341452378168,0.006243923101417736,4.0,3.796693160749384,4.203306839250616,163.9375,155.53804075448375,172.33695924551625,242.9125,236.8924206786945,248.9325793213055,1.0,1.0,1.0,0.6745194353499747,0.654450497458541,0.6945883732414084,573.1096135528729,555.6397657826404,590.5794613231054,675.0023428157826,659.9162775108313,690.088408120734,1.0,1.0,1.0,0.3167690301984631,0.2994537597520852,0.33408430064484096,0.9953953829434299,0.9906857511283702,1.0001050147584896,1.0,1.0,1.0,1.0,1.0,1.0,0.37638830038089144,0.33320139502512375,0.41957520573665913,0.0,False
boundary,action_channel_cost_scale,1.0,action_channel_cost_scale=1.00,boundary,C,3,W2_pure_capture,anti_concentration_plus_delayed_harm_throttle,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,7.9875,6.550963642751705,9.424036357248296,0.15,0.08793954037414209,0.2441342750110605,0.0,0.0,0.0458197362645751,0.5507189607129547,0.5400405384163118,0.5613973830095975,0.0,0.0,0.0458197362645751,0.17577238287789626,0.16276033932609074,0.18878442642970178,0.13936778614866693,0.12643354273789587,0.152302029559438,0.3629414457564414,0.34406134128022065,0.3818215502326621,0.6370585542387659,0.6181784497624331,0.6559386587150987,0.21598700544389798,0.21136777345980318,0.2206062374279928,0.9142694000050404,0.8974792588500136,0.9310595411600673,0.9357917702184647,0.9279336973082364,0.943649843128693,0.7474483183686627,0.7006516176123638,0.7942450191249615,0.36907489863744897,0.3632614218039223,0.37488837547097564,1.0372296299380344,1.0248140421857947,1.049645217690274,1.3990344986381977,1.3842829543067252,1.4137860429696703,0.13631063287808542,0.13427327169041853,0.13834799406575232,1.0,1.0,1.0,333.7625,324.6317656098666,342.8932343901334,0.013653970868859213,0.012868588614294013,0.014439353123424413,0.0,0.0,0.0,0.008450051766360904,0.007669571705286669,0.009230531827435138,1.65,1.423768238024405,1.8762317619755948,145.85,132.59679072828018,159.1032092717198,333.7625,324.6317656098666,342.8932343901334,1.0,1.0,1.0,0.3122427919381367,0.2979977881543503,0.3264877957219231,-40.1896843376878,-54.78942870442782,-25.589939970947782,831.1844965306773,808.7376474460857,853.6313456152689,1.0,1.0,1.0,0.18341758804985536,0.14778295388923682,0.2190522222104739,0.6243675163174319,0.5927249151614783,0.6560101174733856,1.0,1.0,1.0,0.9017034206482935,0.8910219412794943,0.9123849000170926,0.0019244911724104721,-0.0018475115255140537,0.005696493870334998,0.15,False
boundary,action_channel_cost_scale,1.5,action_channel_cost_scale=1.50,boundary,A,1,W2_pure_capture,anti_hhi_allocator,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.5,80,4.0,4.0,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0458197362645751,1.0,0.954180263735425,1.0,0.7264717150354918,0.7243408892312202,0.7286025408397634,0.0,0.0,0.0458197362645751,0.1937008829177727,0.18979814228696198,0.19760362354858343,0.017346668512675197,0.017031807689691397,0.017661529335658996,0.704762803719556,0.6997931588439453,0.7097324485951667,0.2952371962803475,0.2902675514047377,0.3002068411559573,0.4945889067243489,0.4764316313136291,0.5127461821350687,0.9480794850584665,0.9469236469164504,0.9492353232004827,0.009470703536347937,0.007539525079085766,0.011401881993610108,0.0,0.0,0.0,20.176471340875445,19.89624433747644,20.45669834427445,1.8124541096979296,1.798317345891872,1.8265908735039873,2.5093538031698577,2.4910033495865602,2.527704256753155,0.1823455234848695,0.17778859329540697,0.186902453674332,1.0,1.0,1.0,1586.8375,1576.9966827949781,1596.678317205022,0.0,0.0,0.0,0.0,0.0,0.0,0.0029070689989206156,0.002353046010873312,0.003461091986967919,9.0,9.0,9.0,0.0,0.0,0.0,1586.8375,1576.9966827949781,1596.678317205022,1.0,1.0,1.0,0.01926539556328927,0.018961288326398883,0.019569502800179658,47668.1962973023,46511.64865999725,48824.743934607344,4157.28193108661,4052.622385780842,4261.941476392378,1.0,1.0,1.0,0.23597077659046173,0.22482008907385967,0.2471214641070638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2970542945706012,0.28522180677153025,0.3088867823696721,0.0,False
boundary,action_channel_cost_scale,1.5,action_channel_cost_scale=1.50,boundary,B,2,W2_pure_capture,delayed_harm_throttle,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.5,80,4.0,4.0,4.0,0.5,0.5,0.5,13.45,11.879482242915904,15.020517757084095,0.0,0.0,0.0458197362645751,0.0,0.0,0.0458197362645751,0.754858138924956,0.7443232254139642,0.7653930524359478,0.0,0.0,0.0458197362645751,0.22198027168057316,0.2159199270243409,0.22804061633680542,0.15999610519262378,0.1546359477247124,0.16535626266053516,0.7354124082587837,0.7159823531562015,0.754842463361366,0.26458759173222607,0.24515753662952336,0.2840176468349288,0.14025604894306307,0.13035087586842192,0.1501612220177042,0.93852487174851,0.9217080883540736,0.9553416551429463,0.9155434751729455,0.9115659630425872,0.9195209873033039,0.7967519942563637,0.7894832062455025,0.8040207822672248,0.3509317759972063,0.34716180563825405,0.3547017463561586,1.4398284364213594,1.4287027717596916,1.4509541010830271,1.9697099737873245,1.9548527029290534,1.9845672446455955,0.15130568191809723,0.1498573919232295,0.15275397191296497,1.0,1.0,1.0,242.9125,236.8924206786945,248.9325793213055,0.02397326493120864,0.02342371054796982,0.02452281931444746,0.0,0.0,0.0,0.005652132276897952,0.005060341452378168,0.006243923101417736,4.0,3.796693160749384,4.203306839250616,163.9375,155.53804075448375,172.33695924551625,242.9125,236.8924206786945,248.9325793213055,1.0,1.0,1.0,0.6745194353499747,0.654450497458541,0.6945883732414084,573.1096135528729,555.6397657826404,590.5794613231054,675.0023428157826,659.9162775108313,690.088408120734,1.0,1.0,1.0,0.3167690301984631,0.2994537597520852,0.33408430064484096,0.9953953829434299,0.9906857511283702,1.0001050147584896,1.0,1.0,1.0,1.0,1.0,1.0,0.37638830038089144,0.33320139502512375,0.41957520573665913,0.0,False
boundary,action_channel_cost_scale,1.5,action_channel_cost_scale=1.50,boundary,C,3,W2_pure_capture,anti_concentration_plus_delayed_harm_throttle,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.5,80,4.0,4.0,4.0,0.5,0.5,0.5,7.9875,6.550963642751705,9.424036357248296,0.15,0.08793954037414209,0.2441342750110605,0.0,0.0,0.0458197362645751,0.5507189607129547,0.5400405384163118,0.5613973830095975,0.0,0.0,0.0458197362645751,0.17577238287789626,0.16276033932609074,0.18878442642970178,0.13936778614866693,0.12643354273789587,0.152302029559438,0.3629414457564414,0.34406134128022065,0.3818215502326621,0.6370585542387659,0.6181784497624331,0.6559386587150987,0.21598700544389798,0.21136777345980318,0.2206062374279928,0.9142694000050404,0.8974792588500136,0.9310595411600673,0.9357917702184647,0.9279336973082364,0.943649843128693,0.7474483183686627,0.7006516176123638,0.7942450191249615,0.36907489863744897,0.3632614218039223,0.37488837547097564,1.0372296299380344,1.0248140421857947,1.049645217690274,1.3990344986381977,1.3842829543067252,1.4137860429696703,0.13631063287808542,0.13427327169041853,0.13834799406575232,1.0,1.0,1.0,333.7625,324.6317656098666,342.8932343901334,0.020480956303288837,0.019302882921441035,0.021659029685136638,0.0,0.0,0.0,0.008450051766360904,0.007669571705286669,0.009230531827435138,1.65,1.423768238024405,1.8762317619755948,145.85,132.59679072828018,159.1032092717198,333.7625,324.6317656098666,342.8932343901334,1.0,1.0,1.0,0.3122427919381367,0.2979977881543503,0.3264877957219231,-40.1896843376878,-54.78942870442782,-25.589939970947782,831.1844965306773,808.7376474460857,853.6313456152689,1.0,1.0,1.0,0.18341758804985536,0.14778295388923682,0.2190522222104739,0.6243675163174319,0.5927249151614783,0.6560101174733856,1.0,1.0,1.0,0.9017034206482935,0.8910219412794943,0.9123849000170926,0.0019244911724104721,-0.0018475115255140537,0.005696493870334998,0.15,False
boundary,action_channel_cost_scale,2.0,action_channel_cost_scale=2.00,boundary,A,1,W2_pure_capture,anti_hhi_allocator,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,2.0,80,4.0,4.0,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0458197362645751,1.0,0.954180263735425,1.0,0.7264717150354918,0.7243408892312202,0.7286025408397634,0.0,0.0,0.0458197362645751,0.1937008829177727,0.18979814228696198,0.19760362354858343,0.017346668512675197,0.017031807689691397,0.017661529335658996,0.704762803719556,0.6997931588439453,0.7097324485951667,0.2952371962803475,0.2902675514047377,0.3002068411559573,0.4945889067243489,0.4764316313136291,0.5127461821350687,0.9480794850584665,0.9469236469164504,0.9492353232004827,0.009470703536347937,0.007539525079085766,0.011401881993610108,0.0,0.0,0.0,20.176471340875445,19.89624433747644,20.45669834427445,1.8124541096979296,1.798317345891872,1.8265908735039873,2.5093538031698577,2.4910033495865602,2.527704256753155,0.1823455234848695,0.17778859329540697,0.186902453674332,1.0,1.0,1.0,1586.8375,1576.9966827949781,1596.678317205022,0.0,0.0,0.0,0.0,0.0,0.0,0.0029070689989206156,0.002353046010873312,0.003461091986967919,9.0,9.0,9.0,0.0,0.0,0.0,1586.8375,1576.9966827949781,1596.678317205022,1.0,1.0,1.0,0.01926539556328927,0.018961288326398883,0.019569502800179658,47668.1962973023,46511.64865999725,48824.743934607344,4157.28193108661,4052.622385780842,4261.941476392378,1.0,1.0,1.0,0.23597077659046173,0.22482008907385967,0.2471214641070638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2970542945706012,0.28522180677153025,0.3088867823696721,0.0,False
